name,id,max_float,min_float,crates,rarity,weapon,stattrack,collections
★ Hand Wraps | Spruce DDPAT,skin-e757fd7191f9,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Hand Wraps,False,[]
Galil AR | Stone Cold,skin-3d7cafe33cee,0.9,0.0,['crate-4138'],Restricted,Galil AR,True,['The Shadow Collection']
Galil AR | Connexion,skin-736275bed39d,0.8,0.0,['crate-4698'],Restricted,Galil AR,True,['The Fracture Collection']
Galil AR | Vandal,skin-ff88be94bdd8,1.0,0.0,['crate-4717'],Mil-Spec Grade,Galil AR,True,['The Operation Broken Fang Collection']
Galil AR | Firefight,skin-b60d3982f423,1.0,0.0,['crate-4233'],Restricted,Galil AR,True,['The Chroma 3 Collection']
Galil AR | Shattered,skin-9dc89a8890a8,0.8,0.06,['crate-4003'],Mil-Spec Grade,Galil AR,True,['The Bravo Collection']
Galil AR | Orange DDPAT,skin-58ebdc0919d4,0.8,0.06,['crate-4002'],Restricted,Galil AR,True,['The eSports 2013 Collection']
Galil AR | Winter Forest,skin-ab6ea82592f3,0.8,0.06,[],Industrial Grade,Galil AR,False,['The Office Collection']
Galil AR | Kami,skin-b0c960e25016,0.6000000000000001,0.0,['crate-4017'],Mil-Spec Grade,Galil AR,True,['The Huntsman Collection']
Galil AR | Signal,skin-21f65eaf09eb,0.5,0.0,['crate-4548'],Restricted,Galil AR,True,['The Danger Zone Collection']
Galil AR | Cold Fusion,skin-373e7e49f479,0.8300000000000001,0.0,"['crate-4546', 'crate-4596', 'crate-4665', 'crate-4814', 'crate-4840', 'crate-4865', 'crate-4898', 'crate-4931', 'crate-4972', 'crate-5125', 'crate-5224']",Industrial Grade,Galil AR,False,['The 2018 Nuke Collection']
Galil AR | Dusk Ruins,skin-4f5a5aa33496,0.6000000000000001,0.0,"['crate-4813', 'crate-4839', 'crate-4864', 'crate-4897', 'crate-4930', 'crate-4971', 'crate-5124', 'crate-5223']",Mil-Spec Grade,Galil AR,False,['The Ancient Collection']
Galil AR | VariCamo,skin-dcf4de6c10e3,0.6000000000000001,0.0,"['crate-4006', 'crate-4013']",Industrial Grade,Galil AR,False,['The Safehouse Collection']
Galil AR | Urban Rubble,skin-ee7b966c7ea7,0.5,0.0,[],Industrial Grade,Galil AR,False,['The Chop Shop Collection']
Galil AR | Sky Mandala,skin-49296f9e5232,0.7000000000000001,0.0,[],Mil-Spec Grade,Galil AR,False,['The Harlequin Collection']
Galil AR | Acid Dart,skin-1caaee847d10,0.6000000000000001,0.0,[],Industrial Grade,Galil AR,False,['The Boreal Collection']
Galil AR | Green Apple,skin-bf9a7895026e,0.30000000000000004,0.0,"['crate-5126', 'crate-5225']",Industrial Grade,Galil AR,False,['The Train 2025 Collection']
Galil AR | Tuxedo,skin-8019620598a2,0.8,0.0,[],Mil-Spec Grade,Galil AR,False,['The Bank Collection']
Galil AR | Tornado,skin-233856ab2e43,0.8,0.06,[],Consumer Grade,Galil AR,False,['The Norse Collection']
Galil AR | Grey Smoke,skin-6d3d5d849392,0.6000000000000001,0.0,[],Consumer Grade,Galil AR,False,['The Ascent Collection']
Galil AR | O-Ranger,skin-41452c191f44,0.75,0.0,[],Industrial Grade,Galil AR,False,['The Radiant Collection']
Galil AR | Robin's Egg,skin-69fcaf121180,0.6000000000000001,0.0,[],Industrial Grade,Galil AR,False,['The Ascent Collection']
Galil AR | Akoben,skin-ea691ab700a8,0.75,0.0,['crate-4598'],Mil-Spec Grade,Galil AR,True,['The Prisma Collection']
Galil AR | CAUTION!,skin-807c0ef26d8e,0.55,0.0,"['crate-4815', 'crate-4841', 'crate-4866', 'crate-4899', 'crate-4932', 'crate-4973']",Restricted,Galil AR,False,['The 2021 Vertigo Collection']
Galil AR | Crimson Tsunami,skin-1f899f97bd99,0.55,0.0,['crate-4351'],Restricted,Galil AR,True,['The Spectrum Collection']
Galil AR | Hunting Blind,skin-d2bf9bb223d5,0.6000000000000001,0.0,"['crate-4006', 'crate-4013', 'crate-4024', 'crate-4033', 'crate-4081', 'crate-4132', 'crate-4177', 'crate-4226', 'crate-4275', 'crate-4345', 'crate-4397', 'crate-4464', 'crate-4541', 'crate-4591', 'crate-4661']",Consumer Grade,Galil AR,False,['The Mirage Collection']
Galil AR | Metallic Squeezer,skin-0df7ea666c3d,0.6000000000000001,0.0,['crate-5221'],Mil-Spec Grade,Galil AR,False,['The Overpass 2024 Collection']
Galil AR | Phoenix Blacklight,skin-10a21c802ec1,0.7000000000000001,0.0,[],Restricted,Galil AR,False,['The Havoc Collection']
Galil AR | Sage Spray,skin-6cece88efb73,0.8,0.06,"['crate-4006', 'crate-4013']",Consumer Grade,Galil AR,False,['The Lake Collection']
Glock-18 | Fade,skin-da5da69785da,0.08,0.0,[],Restricted,Glock-18,False,['The Assault Collection']
Glock-18 | Moonrise,skin-52971a3886a2,0.65,0.0,['crate-4471'],Restricted,Glock-18,True,['The Clutch Collection']
Glock-18 | High Beam,skin-8d1c8d592ffb,0.08,0.0,"['crate-4540', 'crate-4590', 'crate-4660', 'crate-4809', 'crate-4835', 'crate-4860', 'crate-4893', 'crate-4926', 'crate-4967', 'crate-5120', 'crate-5219']",Industrial Grade,Glock-18,False,['The 2018 Inferno Collection']
Glock-18 | Twilight Galaxy,skin-0926fb5dddc9,0.2,0.0,[],Classified,Glock-18,False,['The Chop Shop Collection']
Glock-18 | Steel Disruption,skin-dc7e8554bda0,0.2,0.0,['crate-4019'],Restricted,Glock-18,True,['The eSports 2014 Summer Collection']
Glock-18 | Dragon Tattoo,skin-75c8474d12a2,0.08,0.0,['crate-4001'],Restricted,Glock-18,True,['The Arms Deal Collection']
Glock-18 | Gamma Doppler,skin-a841a452bb30,0.5,0.0,[],Covert,Glock-18,False,['The 2021 Train Collection']
Glock-18 | Gamma Doppler,skin-45d3638f698c,0.5,0.0,[],Covert,Glock-18,False,['The 2021 Train Collection']
Glock-18 | Gamma Doppler,skin-2479da1a5f04,0.5,0.0,[],Covert,Glock-18,False,['The 2021 Train Collection']
Glock-18 | Gamma Doppler,skin-0fc89d8cca2d,0.5,0.0,[],Covert,Glock-18,False,['The 2021 Train Collection']
Glock-18 | Gamma Doppler,skin-b1ff8720cf58,0.5,0.0,[],Covert,Glock-18,False,['The 2021 Train Collection']
Glock-18 | Reactor,skin-c35e4824fa14,1.0,0.0,"['crate-4026', 'crate-4035', 'crate-4083', 'crate-4136', 'crate-4181', 'crate-4230', 'crate-4278', 'crate-4348', 'crate-4400', 'crate-4467', 'crate-4544', 'crate-4594']",Mil-Spec Grade,Glock-18,False,['The Cache Collection']
Glock-18 | Nuclear Garden,skin-96e7c9f4d6b6,0.7000000000000001,0.0,"['crate-4546', 'crate-4596', 'crate-4665', 'crate-4814', 'crate-4840', 'crate-4865', 'crate-4898', 'crate-4931', 'crate-4972', 'crate-5125', 'crate-5224']",Restricted,Glock-18,False,['The 2018 Nuke Collection']
Glock-18 | Brass,skin-cf0d243b1b14,1.0,0.0,[],Restricted,Glock-18,False,['The Dust Collection']
Glock-18 | Bunsen Burner,skin-e09d999344e2,0.8,0.0,['crate-4091'],Mil-Spec Grade,Glock-18,True,['The Falchion Collection']
Glock-18 | Grinder,skin-d20050bb0d48,0.25,0.02,['crate-4029'],Restricted,Glock-18,True,['The Vanguard Collection']
Glock-18 | Ironwork,skin-19a7e921eb77,1.0,0.0,['crate-4288'],Mil-Spec Grade,Glock-18,True,['The Glove Collection']
Glock-18 | Water Elemental,skin-c879dd5925b2,0.7000000000000001,0.0,['crate-4018'],Classified,Glock-18,True,['The Breakout Collection']
Glock-18 | Oxide Blaze,skin-0b23f3cc7633,0.85,0.0,['crate-4548'],Mil-Spec Grade,Glock-18,True,['The Danger Zone Collection']
Glock-18 | Bullet Queen,skin-3596d60709cc,1.0,0.0,['crate-4695'],Covert,Glock-18,True,['The Prisma 2 Collection']
Glock-18 | Weasel,skin-0e48389f836a,1.0,0.0,['crate-4281'],Restricted,Glock-18,True,['The Gamma 2 Collection']
Glock-18 | Catacombs,skin-db73213412f6,0.5,0.0,['crate-4061'],Mil-Spec Grade,Glock-18,True,['The Chroma Collection']
Glock-18 | Vogue,skin-6e390882e9a0,0.75,0.0,['crate-4698'],Classified,Glock-18,True,['The Fracture Collection']
Glock-18 | Sacrifice,skin-dbf88f552c6d,1.0,0.0,['crate-4669'],Mil-Spec Grade,Glock-18,True,['The CS20 Collection']
Glock-18 | Off World,skin-bd5f006d65a3,1.0,0.0,['crate-4403'],Mil-Spec Grade,Glock-18,True,['The Spectrum 2 Collection']
Glock-18 | Umbral Rabbit,skin-99526dbb85e6,0.75,0.0,['crate-4880'],Restricted,Glock-18,True,['The Revolution Collection']
Glock-18 | Neo-Noir,skin-7127818b09a6,1.0,0.0,['crate-4717'],Covert,Glock-18,True,['The Operation Broken Fang Collection']
Glock-18 | Ramese's Reach,skin-9967f102e7ca,1.0,0.0,"['crate-4882', 'crate-4895', 'crate-4928', 'crate-4969', 'crate-5122']",Restricted,Glock-18,False,['The Anubis Collection']
Glock-18 | Snack Attack,skin-cf4887fb0502,1.0,0.0,['crate-4790'],Classified,Glock-18,True,['The Operation Riptide Collection']
Glock-18 | Wasteland Rebel,skin-73cc8d5fcd85,0.54,0.0,['crate-4236'],Covert,Glock-18,True,['The Gamma Collection']
Glock-18 | Franklin,skin-028e0476ad38,0.4,0.0,[],Restricted,Glock-18,False,['The Havoc Collection']
Glock-18 | Block-18,skin-2c04c0201892,0.671875,0.0,['crate-4904'],Restricted,Glock-18,True,['The Kilowatt Collection']
Glock-18 | Gold Toof,skin-5bd16f2599cf,0.7304959999999999,0.0,['crate-7003'],Covert,Glock-18,True,['The Gallery Collection']
Glock-18 | Mirror Mosaic,skin-a59908982432,1.0,0.0,['crate-5176'],Classified,Glock-18,True,['The Genesis Collection']
Glock-18 | Shinobu,skin-a7838b4ba71f,1.0,0.0,['crate-7007'],Classified,Glock-18,True,['The Fever Collection']
Glock-18 | Green Line,skin-7976ca00d006,1.0,0.0,"['crate-5126', 'crate-5225']",Mil-Spec Grade,Glock-18,False,['The Train 2025 Collection']
Glock-18 | Royal Legion,skin-71b2f3cff45c,1.0,0.0,['crate-4187'],Restricted,Glock-18,True,['The Wildfire Collection']
Glock-18 | Wraiths,skin-c9c83de22ecf,0.8,0.0,['crate-4138'],Mil-Spec Grade,Glock-18,True,['The Shadow Collection']
Glock-18 | Winterized,skin-2a4119de0db9,1.0,0.0,['crate-4846'],Mil-Spec Grade,Glock-18,True,['The Recoil Collection']
Glock-18 | Clear Polymer,skin-955f32e49387,1.0,0.0,['crate-4747'],Mil-Spec Grade,Glock-18,True,['The Snakebite Collection']
Glock-18 | Warhawk,skin-232f3ddb22d4,1.0,0.0,['crate-4482'],Mil-Spec Grade,Glock-18,True,['The Horizon Collection']
Glock-18 | AXIA,skin-6e6550613810,0.7000000000000001,0.0,[],Classified,Glock-18,False,['The Sport & Field Collection']
Glock-18 | Trace Lock,skin-9eb900056828,0.7000000000000001,0.0,[],Restricted,Glock-18,False,['The Achroma Collection']
Glock-18 | Blue Fissure,skin-46fa4ce20e23,0.58,0.06,['crate-4010'],Mil-Spec Grade,Glock-18,True,['The Arms Deal 3 Collection']
Glock-18 | Pink DDPAT,skin-838f75720b22,0.8,0.06,"['crate-4810', 'crate-4836', 'crate-4861', 'crate-4894', 'crate-4927', 'crate-4968', 'crate-5121', 'crate-5220']",Restricted,Glock-18,False,['The 2021 Mirage Collection']
Glock-18 | Synth Leaf,skin-f78ee5dc6e7e,0.7000000000000001,0.0,[],Restricted,Glock-18,False,['The St. Marc Collection']
Glock-18 | Death Rattle,skin-319e3413b40b,0.5,0.08,[],Industrial Grade,Glock-18,False,['The Bank Collection']
Glock-18 | Teal Graf,skin-45d74b83b2a0,0.5,0.0,['crate-5221'],Mil-Spec Grade,Glock-18,False,['The Overpass 2024 Collection']
Glock-18 | Ocean Topo,skin-ad93599cbfb9,0.6000000000000001,0.0,[],Industrial Grade,Glock-18,False,['The Ascent Collection']
Glock-18 | Night,skin-7da83ba004c9,0.8,0.06,"['crate-4028', 'crate-4037', 'crate-4085', 'crate-4135', 'crate-4180', 'crate-4229', 'crate-4277', 'crate-4347', 'crate-4399', 'crate-4466', 'crate-4543', 'crate-4593', 'crate-4663', 'crate-4812', 'crate-4838', 'crate-4863', 'crate-4896', 'crate-4929']",Industrial Grade,Glock-18,False,['The Overpass Collection']
Glock-18 | Groundwater,skin-c31814c4248a,0.8,0.06,"['crate-4006', 'crate-4013', 'crate-4024', 'crate-4033', 'crate-4081', 'crate-4132', 'crate-4177', 'crate-4226', 'crate-4275', 'crate-4345', 'crate-4397', 'crate-4464', 'crate-4541', 'crate-4591', 'crate-4661']",Industrial Grade,Glock-18,False,['The Mirage Collection']
Glock-18 | Candy Apple,skin-4e5b581684d4,0.30000000000000004,0.0,"['crate-4006', 'crate-4013']",Mil-Spec Grade,Glock-18,False,['The Italy Collection']
Glock-18 | Sand Dune,skin-242d3c5aacb6,0.8,0.06,[],Industrial Grade,Glock-18,False,['The Alpha Collection']
Glock-18 | Coral Bloom,skin-79039995c554,0.752941,0.0,[],Mil-Spec Grade,Glock-18,False,['The Radiant Collection']
Glock-18 | Red Tire,skin-9dde6c99ee79,0.55,0.0,"['crate-4815', 'crate-4841', 'crate-4866', 'crate-4899', 'crate-4932', 'crate-4973']",Industrial Grade,Glock-18,False,['The 2021 Vertigo Collection']
Glock-18 | Glockingbird,skin-27a242e44f6b,0.67,0.0,[],Restricted,Glock-18,False,['The Boreal Collection']
P2000 | Amber Fade,skin-1faf71e7b6fe,0.4,0.0,"['crate-4006', 'crate-4013', 'crate-4022', 'crate-4031', 'crate-4079', 'crate-4131', 'crate-4176', 'crate-4225', 'crate-4274', 'crate-4344', 'crate-4542', 'crate-4592', 'crate-4662']",Restricted,P2000,False,['The Dust 2 Collection']
P2000 | Space Race,skin-a1675608a64c,0.6000000000000001,0.0,[],Restricted,P2000,False,['The 2021 Train Collection']
P2000 | Panther Camo,skin-47cc7c043d3d,0.5,0.0,"['crate-4813', 'crate-4839', 'crate-4864', 'crate-4897', 'crate-4930', 'crate-4971', 'crate-5124', 'crate-5223']",Industrial Grade,P2000,False,['The Ancient Collection']
P2000 | Chainmail,skin-994f496c1e81,0.22,0.0,"['crate-4027', 'crate-4036', 'crate-4084', 'crate-4134', 'crate-4179', 'crate-4228', 'crate-4276', 'crate-4346', 'crate-4398', 'crate-4465']",Mil-Spec Grade,P2000,False,['The Cobblestone Collection']
P2000 | Dispatch,skin-6e56f8710eff,0.65,0.0,[],Mil-Spec Grade,P2000,False,['The Control Collection']
P2000 | Ocean Foam,skin-b4a45f1fac9d,0.12,0.0,['crate-4003'],Classified,P2000,True,['The Bravo Collection']
P2000 | Imperial,skin-a2c3eeca40db,0.2,0.0,['crate-4186'],Mil-Spec Grade,P2000,True,['The Revolver Case Collection']
P2000 | Scorpion,skin-6d947a849473,0.08,0.0,[],Restricted,P2000,False,['The Dust Collection']
P2000 | Silver,skin-7dec21725dc0,0.08,0.0,[],Mil-Spec Grade,P2000,False,['The Office Collection']
P2000 | Acid Etched,skin-dd7837484577,1.0,0.0,['crate-4695'],Restricted,P2000,True,['The Prisma 2 Collection']
P2000 | Handgun,skin-5b9aeeb9ad89,1.0,0.0,['crate-4091'],Restricted,P2000,True,['The Falchion Collection']
P2000 | Gnarled,skin-d45805538999,1.0,0.0,['crate-4698'],Mil-Spec Grade,P2000,True,['The Fracture Collection']
P2000 | Corticera,skin-daaabfa27042,0.30000000000000004,0.06,['crate-4019'],Classified,P2000,True,['The eSports 2014 Summer Collection']
P2000 | Coach Class,skin-c235c883a2d6,1.0,0.0,[],Industrial Grade,P2000,False,['The Baggage Collection']
P2000 | Wicked Sick,skin-c36fdc469906,1.0,0.0,['crate-4880'],Classified,P2000,True,['The Revolution Collection']
P2000 | Fire Elemental,skin-be569f85ce42,0.6000000000000001,0.0,['crate-4029'],Covert,P2000,True,['The Vanguard Collection']
P2000 | Woodsman,skin-ebbde3e289ee,0.8,0.0,['crate-4352'],Restricted,P2000,True,['The Operation Hydra Collection']
P2000 | Ivory,skin-70f8ab3bec6b,1.0,0.0,['crate-4018'],Mil-Spec Grade,P2000,True,['The Breakout Collection']
P2000 | Obsidian,skin-3c3bc3fa44dc,1.0,0.0,['crate-4620'],Restricted,P2000,True,['The Shattered Web Collection']
P2000 | Pulse,skin-47c5420fd212,0.6000000000000001,0.0,['crate-4017'],Mil-Spec Grade,P2000,True,['The Huntsman Collection']
P2000 | Urban Hazard,skin-87386812a8f9,1.0,0.0,['crate-4471'],Mil-Spec Grade,P2000,True,['The Clutch Collection']
P2000 | Lifted Spirits,skin-75edb16f0014,1.0,0.0,['crate-4818'],Mil-Spec Grade,P2000,True,['The Dreams & Nightmares Collection']
P2000 | Turf,skin-d044427dd6f6,1.0,0.0,['crate-4288'],Mil-Spec Grade,P2000,True,['The Glove Collection']
P2000 | Imperial Dragon,skin-76967e1c919f,0.63,0.0,['crate-4236'],Classified,P2000,True,['The Gamma Collection']
P2000 | Coral Halftone,skin-91f502dd8899,0.52,0.0,[],Industrial Grade,P2000,False,['The Graphic Design Collection']
P2000 | Granite Marbleized,skin-d075421607f7,0.8,0.06,"['crate-4006', 'crate-4013']",Industrial Grade,P2000,False,['The Italy Collection']
P2000 | Oceanic,skin-3903899a4282,0.6000000000000001,0.0,['crate-4233'],Mil-Spec Grade,P2000,True,['The Chroma 3 Collection']
P2000 | Red FragCam,skin-ea39a500354e,0.7000000000000001,0.0,['crate-4010'],Mil-Spec Grade,P2000,True,['The Arms Deal 3 Collection']
P2000 | Red Wing,skin-53b81168eea3,1.0,0.0,['crate-5176'],Mil-Spec Grade,P2000,True,['The Genesis Collection']
P2000 | Sure Grip,skin-8bda61ff439a,0.9,0.0,['crate-7007'],Mil-Spec Grade,P2000,True,['The Fever Collection']
P2000 | Grassland,skin-4f77cef2d122,0.8,0.06,"['crate-4028', 'crate-4037', 'crate-4085', 'crate-4135', 'crate-4180', 'crate-4229', 'crate-4277', 'crate-4347', 'crate-4399', 'crate-4466', 'crate-4543', 'crate-4593', 'crate-4663', 'crate-4812', 'crate-4838', 'crate-4863', 'crate-4896', 'crate-4929']",Industrial Grade,P2000,False,['The Overpass Collection']
P2000 | Grip Tape,skin-a5639c9731c1,0.75,0.0,[],Mil-Spec Grade,P2000,False,['The Achroma Collection']
P2000 | Marsh,skin-fce2182cb25e,0.6000000000000001,0.0,[],Industrial Grade,P2000,False,['The Boreal Collection']
P2000 | Pathfinder,skin-5b448c150b37,0.35000000000000003,0.0,[],Industrial Grade,P2000,False,['The Gods and Monsters Collection']
P2000 | Grassland Leaves,skin-b0471ef17335,0.8,0.06,[],Industrial Grade,P2000,False,['The Militia Collection']
P2000 | Royal Baroque,skin-e010a1443ce8,0.6000000000000001,0.0,[],Mil-Spec Grade,P2000,False,['The Ascent Collection']
★ Butterfly Knife | Fade,skin-6656ae9270b9,0.08,0.0,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Doppler,skin-89f34e17d8b4,0.08,0.0,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Doppler,skin-fe2b6114d2ac,0.08,0.0,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Doppler,skin-c5c8a3b9df72,0.08,0.0,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Doppler,skin-9c3fcfde3cf3,0.08,0.0,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Doppler,skin-c625bfd7788d,0.08,0.0,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Gamma Doppler,skin-a07ae9bbbeff,0.08,0.0,"['crate-4790', 'crate-4818']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Gamma Doppler,skin-39239616bdfe,0.08,0.0,"['crate-4790', 'crate-4818']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Gamma Doppler,skin-53e36cb13a7b,0.08,0.0,"['crate-4790', 'crate-4818']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Gamma Doppler,skin-2500ee528b71,0.08,0.0,"['crate-4790', 'crate-4818']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Gamma Doppler,skin-9acc604bb3c9,0.08,0.0,"['crate-4790', 'crate-4818']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Marble Fade,skin-c14ef2ceee15,0.08,0.0,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Freehand,skin-54da4d116a31,0.48,0.0,"['crate-4790', 'crate-4818']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Doppler,skin-e0c77218a563,0.08,0.0,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Doppler,skin-e11ce6f6e025,0.08,0.0,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Slaughter,skin-eae7c10fa54f,0.26,0.01,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Tiger Tooth,skin-9f5234d3821f,0.08,0.0,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Blue Steel,skin-379727014f65,1.0,0.0,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Damascus Steel,skin-da19db61f316,0.5,0.0,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Stained,skin-c537f6da0a92,1.0,0.0,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Case Hardened,skin-688d607e4dec,1.0,0.0,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Rust Coat,skin-466c6dee0868,1.0,0.4,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Lore,skin-b083e3da3e03,1.0,0.0,"['crate-4790', 'crate-4818']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Autotronic,skin-51688cf28133,0.85,0.0,"['crate-4790', 'crate-4818']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Black Laminate,skin-f022f759f62a,1.0,0.0,"['crate-4790', 'crate-4818']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Forest DDPAT,skin-a54b82c79b59,0.8,0.06,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Boreal Forest,skin-1471c201cd68,0.8,0.06,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Bright Water,skin-4ffaeff43385,0.5,0.0,"['crate-4790', 'crate-4818']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Crimson Web,skin-6c3fbb89c658,0.8,0.06,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Night,skin-c8f815e08499,0.8,0.06,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Ultraviolet,skin-0063b0378b5b,0.8,0.06,"['crate-4351', 'crate-4403']",Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Scorched,skin-59943a4e472a,0.8,0.06,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Safari Mesh,skin-c10084b67a2b,0.8,0.06,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Butterfly Knife | Urban Masked,skin-e4f6bbb7bf5f,0.8,0.06,['crate-4018'],Covert,Butterfly Knife,True,[]
★ Survival Knife | Fade,skin-0786fd21a508,0.08,0.0,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Doppler,skin-31104eb44a48,0.08,0.0,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Doppler,skin-d8e011ff13da,0.08,0.0,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Doppler,skin-b0db8f2d815b,0.08,0.0,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Doppler,skin-0df1b6a61907,0.08,0.0,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Doppler,skin-7318cf51d0cc,0.08,0.0,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Marble Fade,skin-22f341558d67,0.08,0.0,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Doppler,skin-48064d096b19,0.08,0.0,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Doppler,skin-2d238e77693f,0.08,0.0,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Slaughter,skin-239162799f41,0.26,0.01,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Tiger Tooth,skin-c6ba6147a635,0.08,0.0,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Blue Steel,skin-73f3147d83c0,1.0,0.0,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Damascus Steel,skin-4501a81b5f21,0.5,0.0,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Stained,skin-2501d0454acd,1.0,0.0,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Case Hardened,skin-7bb2453ebc78,1.0,0.0,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Rust Coat,skin-0e190498bba1,1.0,0.4,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Forest DDPAT,skin-b862260eaab4,0.8,0.06,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Boreal Forest,skin-ab09205a25f2,0.8,0.06,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Crimson Web,skin-4b24c320cc23,0.8,0.06,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Ultraviolet,skin-34931416e76d,0.8,0.06,['crate-7007'],Covert,Survival Knife,True,[]
★ Survival Knife | Scorched,skin-a98faf349245,0.8,0.06,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Safari Mesh,skin-a2359eb57d47,0.8,0.06,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Night Stripe,skin-3f663fae062e,0.8,0.06,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Survival Knife | Urban Masked,skin-811f8cc4dc88,0.8,0.06,"['crate-4620', 'crate-4698']",Covert,Survival Knife,True,[]
★ Paracord Knife | Fade,skin-29564901bab8,0.08,0.0,"['crate-4620', 'crate-4698']",Covert,Paracord Knife,True,[]
★ Paracord Knife | Doppler,skin-19875cb0c4d2,0.08,0.0,['crate-7007'],Covert,Paracord Knife,True,[]
★ Paracord Knife | Doppler,skin-850f2644f9c2,0.08,0.0,['crate-7007'],Covert,Paracord Knife,True,[]
★ Paracord Knife | Doppler,skin-e810da3af62e,0.08,0.0,['crate-7007'],Covert,Paracord Knife,True,[]
★ Paracord Knife | Doppler,skin-ae1b4d1aff06,0.08,0.0,['crate-7007'],Covert,Paracord Knife,True,[]
★ Paracord Knife | Doppler,skin-a88a2f945f22,0.08,0.0,['crate-7007'],Covert,Paracord Knife,True,[]
★ Paracord Knife | Marble Fade,skin-de2969c726c5,0.08,0.0,['crate-7007'],Covert,Paracord Knife,True,[]
★ Paracord Knife | Doppler,skin-f86dbd0df1d8,0.08,0.0,['crate-7007'],Covert,Paracord Knife,True,[]
★ Paracord Knife | Doppler,skin-dd829cdcbf08,0.08,0.0,['crate-7007'],Covert,Paracord Knife,True,[]
